yrsInLeague,ERA,HR9,WHIP,SO9,ASG_Result
9,3.121,1.357,0.995,7.191,NO
15,2.182,0.409,0.909,9,NO
1,3.746,0.646,1.407,8.01,NO
3,7.329,1.736,1.65,8.871,NO
7,2.005,0.936,0.936,7.619,NO
3,3.375,0.625,1.146,9.813,NO
3,2.138,0.45,1.013,10.8,NO
3,2.43,0.27,1.23,9.18,NO
5,3.981,0.651,1.375,3.113,NO
1,4.091,0.818,1.286,10.753,NO
2,2.491,0.753,1.191,5.852,NO
3,3.462,0.656,1.215,5.648,NO
0,4.32,1.08,1.53,8.235,NO
4,3.872,0.611,1.415,3.872,NO
1,2.6,0.2,1.489,7.4,NO
8,4.117,0.957,1.383,5.745,NO
6,5.887,1.413,1.622,8.869,NO
1,3.793,1.339,1.153,6.248,NO
1,3.453,0.628,1.156,6.004,NO
5,3.462,0.577,1.346,4.269,NO
1,5.764,1.517,1.719,6.978,NO
7,4.725,1.238,1.438,7.369,NO
10,4.829,0.439,1.659,5.707,NO
1,3.815,0.793,1.239,5.053,NO
8,4.8,1.35,1.45,7.2,NO
8,6.052,1.397,1.69,6.362,NO
11,4.219,1.35,1.313,9.113,NO
7,7.115,1.095,1.986,4.743,NO
5,4.362,1.142,1.35,6.023,NO
1,4.115,1.008,1.278,6.593,NO
1,4.784,0.935,1.356,4.014,NO
5,4.38,1.191,1.417,4.124,NO
8,4.091,1.125,1.284,5.727,NO
8,4.765,1.361,1.462,5.672,NO
4,3.098,0.443,1.328,5.754,NO
0,2.506,0.57,1.278,3.304,NO
5,4.56,1.309,1.43,6.186,NO
7,5.666,1.232,1.533,7.292,NO
11,5.25,0.9,1.55,7.35,NO
4,3,0.87,1.14,5.522,NO
5,2.747,0.536,1.243,10.251,NO
13,4.271,1.22,1.356,8.695,NO
3,3.686,0.737,1.413,4.976,NO
2,3.086,0.386,1.157,7.2,NO
10,3.925,0.714,1.361,6.661,NO
4,4.07,0.939,1.409,5.4,NO
9,3.375,0.92,1.398,5.983,NO
13,4.533,1.577,1.248,7.489,NO
0,1.746,0.698,1.06,10.125,NO
2,3.704,0.926,1.24,6.238,NO
5,4.269,1.154,1.526,9.808,NO
6,4.915,1.01,1.691,6.531,NO
4,4.668,1.262,1.374,4.164,NO
6,3.917,0.583,1.278,6.833,NO
6,3.82,1.054,1.327,5.4,NO
9,5.963,1.325,1.859,6.129,NO
2,3.733,1.078,1.221,6.76,NO
10,5.287,0.378,1.72,4.72,NO
1,5.202,2.725,1.651,9.413,NO
9,2.813,1.5,1.146,6.938,NO
4,6.064,1.258,1.703,8.352,NO
1,2.908,0.831,1.215,8.862,NO
6,3.818,0.818,1.258,8.318,NO
8,5.786,1.929,1.393,9.402,NO
8,2.25,0.265,1.559,3.574,NO
4,3.627,0.806,1.433,6.045,NO
13,6.136,2.455,1.75,7.568,NO
7,3.582,1.102,1.224,9.918,NO
1,5.84,1.053,1.596,5.553,NO
0,4.708,0.692,1.569,8.169,NO
1,2.851,0.839,1.416,4.025,NO
0,3.965,0.566,1.636,5.476,NO
4,2.904,0.861,1.159,6.992,NO
0,1.443,0.412,1.053,10.924,NO
14,3.94,0.811,1.288,7.069,NO
3,3.327,0.768,1.351,7.934,NO
6,4.229,0.813,1.373,7.319,NO
5,5.014,0.771,2.1,5.207,NO
0,3.706,0.176,1.353,7.235,NO
5,5.494,1.256,1.547,4.866,NO
4,3.404,0.822,1.265,9.978,NO
7,5.526,1.316,1.444,5.895,NO
0,2.765,0.325,1.259,2.765,NO
10,3.582,1.102,1.316,7.439,NO
3,3.24,0.589,1.124,4.516,NO
3,5.042,0.325,1.572,5.367,NO
6,3.1,0.646,1.134,7.364,NO
3,2.963,0.165,1.116,10.372,NO
1,4.443,0.94,1.244,6.921,NO
3,3.773,0.888,1.274,3.292,NO
0,2.132,0.947,1.158,9.947,NO
11,2.94,0.544,1.052,6.097,NO
5,5.252,1.067,1.578,6.647,NO
12,3.153,0.591,1.314,6.307,NO
3,4.586,0.515,1.511,2.422,NO
3,3.332,0.513,1.301,9.313,NO
1,3.07,0.757,1.215,8.664,NO
5,3.8,0.84,1.301,7.026,NO
1,3.441,0.926,1.221,6.882,NO
0,3.396,0.849,1.208,6.623,NO
9,4.484,0.477,1.431,4.293,NO
6,5.063,1.313,1.458,4.781,NO
4,4.102,0.916,1.447,3.584,NO
5,3.512,0.549,1.5,6.146,NO
9,4.219,1.125,1.797,5.063,NO
2,4.309,0.431,1.548,8.186,NO
3,3.586,0.316,1.418,6.328,NO
4,2.135,0.502,1.256,4.898,NO
2,2.605,0.474,1.395,8.289,NO
2,2.398,0.521,1.089,8.131,NO
6,1.95,0.15,1.1,10.35,NO
6,3.652,0.913,1.391,7.826,NO
3,4.382,1.414,1.508,5.796,NO
2,2.842,0.355,1.52,4.263,NO
8,3.352,0.544,1.374,4.168,NO
0,1.623,0.443,1.049,8.115,NO
0,3.24,0.48,1.207,5.1,NO
2,4.897,1.373,1.403,7.093,NO
8,3.73,1.243,1.283,8.704,NO
3,4.099,0.141,1.398,7.209,NO
1,5.4,1.872,1.504,10.224,NO
0,4.235,1.059,1.196,9.706,NO
2,3.306,1.102,1.316,7.714,NO
5,3.165,0.94,1.088,10.929,NO
2,3.078,0.862,1.112,5.211,NO
2,6.045,1.41,1.627,4.567,NO
3,3.892,0.73,1.419,4.743,NO
6,1.985,0.529,1.25,8.471,NO
7,3.609,1.041,1.411,5.344,NO
3,4.088,0.937,1.434,4.897,NO
5,2.336,0.467,1.204,8.408,NO
3,3.696,1.181,1.209,6.314,NO
5,2.793,0.677,1.307,11.003,NO
4,3.751,0.706,1.193,4.457,NO
1,3.549,0.617,1.32,8.486,NO
4,3.907,1.094,1.268,6.994,NO
13,3.569,0.466,1.069,9.621,NO
6,2.842,1.303,1.053,9,NO
3,3.59,0.312,1.353,5.931,NO
1,1.985,0.662,1.206,7.279,NO
6,5.108,1.338,1.486,7.784,NO
8,4.873,0.672,1.413,6.33,NO
9,4.447,0.318,1.553,6.512,NO
2,4.392,1.139,1.41,7.645,NO
1,2.617,0.758,1.202,5.372,NO
1,3.222,0.92,1.381,8.898,NO
11,5.45,1.734,1.5,10.528,NO
3,2.596,0.346,1.308,11.596,NO
10,3.834,0.612,1.328,4.16,NO
6,3.218,0.839,1.383,6.295,NO
1,4.873,1.598,1.269,4.234,NO
3,4.134,0.904,1.407,8.526,NO
6,3.675,0.565,1.382,9.188,NO
4,3.693,1.391,1.194,7.961,NO
4,5.348,0.957,1.556,5.913,NO
6,4.816,1.383,1.417,6.865,NO
5,3.12,0.84,1.4,7.8,NO
11,3.228,1.467,1.223,8.511,NO
4,4.362,0.825,1.585,7.546,NO
15,2.602,0.325,1.446,6.398,NO
1,1.841,0.46,1.006,8.591,NO
5,4.576,1.068,1.508,5.492,NO
2,3.25,0.875,1.25,5.75,NO
1,3.023,0.281,1.164,4.57,NO
3,2.298,0.574,1.229,10.053,NO
1,4.313,1.38,1.347,5.564,NO
0,3.027,0.9,1.109,6.382,NO
4,4.019,1.049,1.33,6.684,NO
2,2.132,0.711,0.979,8.053,NO
8,2.175,0.64,1.038,9.981,NO
5,3.846,0.549,1.387,5.494,NO
1,4.461,1.552,1.241,5.741,NO
1,4.635,1.347,1.437,5.174,NO
6,2.553,0.687,1.145,6.676,NO
5,3.64,1.106,1.147,7.602,NO
10,3.926,1.053,1.319,3.447,NO
10,3.912,0.859,1.367,7.823,NO
8,4.361,1.274,1.388,5.733,NO
5,3.094,0.422,1.219,8.578,NO
10,4.883,1.149,1.404,4.251,NO
2,3.38,0.659,1.244,5.137,NO
2,4.509,1.718,1.276,7.837,NO
2,4.616,0.759,1.454,4.11,NO
8,3.038,0.9,1.013,4.95,NO
4,3.015,0.786,1.383,7.602,NO
2,4.451,1.632,1.368,4.896,NO
6,4.471,0.438,1.539,5.786,NO
3,3.384,0.576,1.4,4.176,NO
4,2.923,0.418,1.082,9.881,NO
2,3.256,0.079,1.359,2.779,NO
2,3.457,1.317,1.5,6.421,NO
2,4.927,1.307,1.447,4.777,NO
15,2.015,0.564,0.994,6.528,NO
14,4.373,1.204,1.306,4.373,NO
10,2.872,0.574,1.302,7.468,NO
4,4.355,0.581,1.306,4.935,NO
0,3.951,1.317,1.317,8.122,NO
2,3.837,0.832,1.289,6.704,NO
0,2.387,0.597,1.16,10.144,NO
6,4.938,1.471,1.401,5.253,NO
2,2.626,0.315,1.272,4.833,NO
7,4.31,0.634,1.718,4.563,NO
5,4.648,0.885,1.586,7.193,NO
1,2.93,0.209,1.36,5.233,NO
0,4.154,0.799,1.473,8.467,NO
3,2.44,0.488,1.283,5.205,NO
9,4.008,0.633,1.406,6.328,NO
3,4.248,1.322,1.385,8.308,NO
1,2.944,0.508,1.297,3.756,NO
6,5.128,1.358,1.559,7.391,NO
5,3.743,0.936,1.366,9.356,NO
6,2.567,0.621,1.09,6.129,NO
10,5.916,0.91,1.702,5.612,NO
7,6.144,1.401,1.677,5.174,NO
3,2.805,0.964,1.086,5.391,NO
3,5.253,1.466,1.276,9.041,NO
2,3.838,0.914,1.279,5.665,NO
4,3.996,0.918,1.224,7.83,NO
11,2.325,0.517,0.833,10.464,NO
2,3.167,0.5,1.148,8.833,NO
2,3.279,0.579,1.457,11.186,NO
2,2.27,1.075,1.075,7.168,NO
5,4.593,1.318,1.367,4.913,NO
3,4.418,1.473,1.273,8.345,NO
4,5.2,1.4,1.511,4.7,NO
11,4.415,0.509,1.509,6.283,NO
1,2.601,0.449,1.256,10.585,NO
8,4.21,1.161,1.339,10.742,NO
7,1.466,0.611,0.787,9.041,NO
2,2.842,0.656,1.336,5.247,NO
5,4.697,1.145,1.395,4.539,NO
2,4.283,1.011,1.492,5.342,NO
11,4.668,1.009,1.5,7.949,NO
4,4.132,0.817,1.308,7.735,NO
4,3.884,1.295,1.274,8.322,NO
1,4.807,1.174,1.385,5.925,NO
14,5.468,1.196,1.405,7.69,NO
3,3.667,1,1.481,7.111,NO
1,5.211,2.132,1.658,7.105,NO
1,3.09,0.163,1.175,8.946,NO
5,3.689,1.174,1.36,9.224,NO
9,2.817,0.704,1.148,9.391,NO
4,3.49,0.821,1.249,10.215,NO
5,4.342,0.868,1.377,6.553,NO
3,2.171,0.543,1.04,7.327,NO
1,4.32,0.785,1.56,4.86,NO
9,3.355,0.703,1.214,3.625,NO
2,3.236,1.11,1.12,8.877,NO
2,3.252,0.723,1.359,4.595,NO
2,3.21,0.528,1.212,8.399,NO
6,3.772,0.596,1.368,10.125,NO
2,2.285,0.415,1.096,4.673,NO
0,3.424,0.659,1.244,7.639,NO
1,1.429,0.318,0.971,7.147,NO
1,2.849,0.124,1.225,13.995,NO
2,5.076,1.026,1.572,4.698,NO
11,4.475,0.597,1.459,4.028,NO
6,3.611,0.86,1.471,5.331,NO
1,2.077,0.489,1.059,7.208,NO
5,3.176,0.176,1.686,4.941,NO
1,2.76,0.36,1.147,6.96,NO
9,4.157,0.831,1.449,3.72,NO
2,3.407,0.474,1.284,3.882,NO
9,2.839,0.671,1.187,5.369,NO
5,3.813,0.824,1.225,4.534,NO
3,4.881,1.297,1.424,4.958,NO
1,4.075,0.589,1.445,5.302,NO
2,5.016,0.885,1.574,5.459,NO
6,4.445,1.591,1.393,5.756,NO
3,2.972,0.743,1.294,7.018,NO
3,5.981,2.563,1.329,6.494,NO
2,3.329,0.74,1.521,8.692,NO
2,3.635,0.346,1.423,5.712,NO
7,3.6,0.582,1.288,5.612,NO
7,4.214,1.331,1.411,7.873,NO
7,4.607,1.585,1.305,5.103,NO
1,5.602,1.469,1.541,5.969,NO
12,3.248,0.743,1.213,4.07,NO
1,4.01,1.47,1.351,6.282,NO
11,3.955,0.545,1.47,3.545,NO
1,2.545,0.283,1.257,6.644,NO
17,3.577,0.231,1.641,4.038,NO
1,4.252,0.638,1.358,6.272,NO
4,3.774,0.968,1.28,4.065,NO
4,5.053,1.155,1.508,7.075,NO
0,5.094,1.274,1.613,4.84,NO
4,7.347,2.204,1.816,3.673,NO
11,2.858,0.81,1.09,6.1,NO
3,2.739,0.88,1.185,6.261,NO
2,4.172,1.159,1.506,9.386,NO
3,3.827,0.315,1.532,5.767,NO
3,3.876,0.904,1.22,10.722,NO
9,3.125,0.875,1.333,6.75,NO
1,4.353,0.748,1.51,4.09,NO
7,2.543,0.489,1.293,4.989,NO
5,3.698,0.907,1.295,6.628,NO
6,3.417,1.003,1.23,4.754,NO
3,2.7,0.9,1.32,7.2,NO
9,3.289,1.096,1.371,8.086,NO
1,4.472,0.711,1.5,4.89,NO
3,3.56,0.693,1.32,7.212,NO
4,3.068,0.43,1.323,3.436,NO
1,4.718,1.028,1.526,6.54,NO
7,3.703,0.771,1.406,9.72,NO
1,3.949,0.96,1.364,9.925,NO
2,3.111,0.791,1.178,6.645,NO
3,3.089,0.801,1.347,8.008,NO
2,4.335,0.619,1.335,6.44,NO
6,3.501,0.616,1.383,2.528,NO
2,4.983,0.864,1.486,4.424,NO
6,5.961,0.526,1.909,6.312,NO
4,3.152,0.63,1.202,4.833,NO
6,3.696,1.286,1.304,6.75,NO
4,3.831,1.186,1.267,5.199,NO
6,5.023,1.326,1.612,5.372,NO
1,4.288,0.476,1.465,8.576,NO
8,3.582,0.551,1.27,7.852,NO
9,4.099,1.131,1.555,3.534,NO
2,3.916,0.824,1.397,6.389,NO
4,3,0.913,1.348,10.957,NO
6,2.687,0.64,1.081,7.166,NO
2,5.667,1.167,1.852,7.5,NO
1,2.319,0.828,0.902,10.436,NO
1,4.245,1.019,1.472,9.679,NO
4,3.896,0.537,1.716,8.328,NO
1,2.657,0.427,1.107,7.118,NO
7,5.301,0.166,1.804,7.454,NO
3,2.475,0.563,1.338,6.525,NO
4,3.327,0.89,1.298,4.487,NO
10,5.029,1.985,1.412,7.412,NO
1,4.202,0.63,1.331,6.829,NO
4,2.262,0.99,1.099,7.634,NO
2,2.799,1.152,1.079,11.854,NO
2,4.909,1.011,1.749,5.487,NO
4,5.1,1.3,1.489,4.9,NO
5,3.201,0.418,1.16,6.959,NO
7,2.463,0.912,1.176,5.747,NO
5,4.5,0.75,1.528,9,NO
0,4.926,0.912,1.581,5.473,NO
6,3.84,1.051,1.298,8.407,NO
4,3.916,0.687,1.458,3.985,NO
0,3.031,0.551,1.292,3.967,NO
3,4.154,0.89,1.549,8.703,NO
3,5.172,1.241,1.351,6.983,NO
5,5.243,1.398,1.311,7.165,NO
3,4.067,1.017,1.368,6.778,NO
3,3.539,0.917,1.369,9.044,NO
3,4.782,0.797,1.439,3.686,NO
3,3.661,1.068,1.644,5.797,NO
7,3.61,0.628,1.099,9.105,NO
14,4.717,1.301,1.337,10.41,NO
2,2.746,0.356,1.147,6.102,NO
4,6.66,1.497,1.709,5.317,NO
3,2.95,0.908,1.21,9.529,NO
1,4.425,1.008,1.376,6.386,NO
12,3.293,0.439,1.366,7.244,NO
1,3.741,0.778,1.321,4.185,NO
5,4.842,1.682,1.427,5.375,NO
1,2.634,0.494,1.207,10.866,NO
10,3.484,0.871,1.371,8.129,NO
3,3.924,0.792,1.428,4.536,NO
4,3.09,1.043,1.283,5.446,NO
5,2.464,0,1.259,4.139,NO
11,3.358,0.672,1.179,9,NO
0,4.527,1.293,1.419,5.659,NO
2,2.25,0.422,1.25,8.156,NO
5,3.724,0.532,1.419,5.586,NO
3,3.253,0.542,1.422,5.205,NO
6,3.737,0.526,1.275,3.737,NO
1,2.855,0.833,1.15,5.947,NO
9,5.15,1.45,1.478,3.4,NO
7,3.75,1.232,1.226,5.946,NO
1,3.284,0.608,1.392,7.784,NO
4,4.538,1.134,1.399,5.786,NO
11,4.296,0.588,1.392,6.015,NO
5,3.294,0.869,1.331,5.718,NO
1,3.459,1.013,1.341,8.522,NO
1,2.927,0.472,1.122,9.252,NO
3,3.073,0.22,1.634,8.341,NO
8,3.953,0.891,1.367,6.179,NO
10,3.02,1.243,1.086,9.947,NO
3,4.011,0.832,1.239,5.283,NO
6,3.432,1.144,1.258,5.034,NO
8,2.455,1.033,1.263,6.718,NO
1,3.38,0.899,1.208,5.862,NO
4,3.44,0.72,1.311,3.32,NO
2,3.364,0.69,1.188,7.764,NO
6,3.491,1.047,1.164,8.845,NO
2,4.204,0.323,1.186,12.772,NO
6,2.353,0.112,1.295,5.154,NO
0,4.585,1.146,1.571,6.495,NO
4,4.227,0.476,1.609,5.389,NO
1,3.298,0.824,1.351,12.985,NO
2,5.765,1.429,1.495,5.568,NO
11,4.231,1.41,1.5,8.463,NO
6,3.522,0.813,1.214,6.05,NO
10,2.641,0.44,0.995,7.043,NO
5,5.063,0.563,1.417,9.938,NO
2,2.7,0.36,1.32,10.44,NO
4,3.627,0.604,1.299,7.657,NO
8,2.367,0.968,1.207,8.713,NO
4,3.065,0.876,1.346,5.838,NO
6,5.082,0.741,1.6,8.153,NO
0,3.329,0.37,1.346,4.993,NO
8,2.627,0.73,1.346,6.568,NO
2,2.112,0.453,1.073,7.089,NO
9,3.434,0.156,1.335,6.243,NO
9,4.5,1.157,1.543,6.043,NO
1,2.893,0.675,1.221,9.932,NO
4,2.796,0.874,1.223,8.301,NO
1,2.905,0.401,1.08,7.614,NO
9,4.122,1.087,1.409,4.576,NO
4,3.744,0.72,1.276,4.752,NO
4,4.638,0.911,1.601,7.123,NO
8,2.723,0.454,1.059,5.105,NO
13,3.761,1.478,1.313,7.254,NO
9,4.109,1.174,1.217,8.609,NO
1,3.923,1.325,1.262,5.4,NO
0,5.16,1.095,1.506,4.431,NO
4,4.523,1.234,1.386,9.183,NO
3,3.529,1.412,0.98,10.235,NO
4,5.888,0.718,1.707,6.032,NO
10,6.385,1.551,1.743,6.476,NO
2,4.414,1.114,1.138,7.114,NO
3,4.594,0.938,1.667,4.875,NO
6,4.583,1.25,1.343,6.083,NO
4,2.925,0.675,1.35,8.55,NO
9,4.311,1.588,1.462,8.168,NO
11,4.823,1.421,1.526,5.211,NO
7,3.757,0.587,1.357,7.748,NO
4,2.209,0.614,1.05,7.118,NO
4,4.087,1.286,1.383,5.235,NO
8,3.187,0.885,1.298,4.426,NO
3,3.64,0.607,1.466,9.708,NO
4,3.814,1.373,1.119,6.407,NO
3,3.267,0.673,1.27,8.936,NO
14,3.777,0.699,1.259,7.135,NO
2,3.473,0.741,1.184,8.568,NO
4,3,0.257,1.295,5.314,NO
14,2.963,0.988,1.244,4.28,NO
3,3.042,0.8,1.233,5.389,NO
6,3.759,0.854,1.272,10.253,NO
2,5.431,1.241,1.621,10.552,NO
5,4.523,1.371,1.431,7.264,NO
6,3.457,0.823,1.427,11.36,NO
6,6.091,1.152,1.5,7.738,NO
4,3.75,0.825,1.363,6.188,NO
8,6.284,1.164,1.655,5.819,NO
11,3.717,0.654,1.248,4.452,NO
1,4.398,1.222,1.235,6.964,NO
0,5.4,1.44,1.4,9.36,NO
2,4.924,1.588,1.341,9.529,NO
7,4.929,0.643,1.5,5.143,NO
8,3.771,1.329,1.19,4.929,NO
6,6.048,1.944,1.674,6.858,NO
5,3.71,1.174,1.252,6.292,NO
4,3.365,0.486,1.383,8.959,NO
16,4.962,1.168,1.443,8.319,NO
6,2.393,0.374,1.222,7.479,NO
6,4.313,0.563,1.75,4.688,NO
5,4.121,0.711,1.532,7.958,NO
2,2.595,0.628,1.214,6.363,NO
3,1.701,0.106,1.122,5.209,NO
8,4.131,1.033,1.557,6.492,NO
4,1.118,0.32,0.976,7.349,NO
7,4.974,0.914,1.534,5.227,NO
6,5.358,1.786,1.5,5.043,NO
10,1.919,0.256,1.009,7.166,NO
1,4.706,1.734,1.376,6.193,NO
3,4.205,1.195,1.301,6.021,NO
12,5.178,1.321,1.521,7.027,NO
4,3.346,1.269,1.205,7.269,NO
6,2.929,0.509,1.217,6.75,NO
1,4.585,0.866,1.443,3.158,NO
0,4.113,1.252,1.291,7.51,NO
0,3.754,1.155,1.428,6.497,NO
9,3.639,1.055,1.365,6.539,NO
6,3.531,0.492,1.435,4.962,NO
3,5.301,0.37,1.726,3.205,NO
3,3.074,1.069,1.213,7.173,NO
0,3.488,0.788,1.438,5.963,NO
1,2.496,0.567,1.109,9.87,NO
2,4.937,0.617,1.611,8.486,NO
5,4.342,1.198,1.281,7.287,NO
11,3.038,1.036,1.166,5.11,NO
6,3.658,0.722,1.225,5.583,NO
11,2.939,0.918,1.184,9.735,NO
1,4.743,2.189,1.52,6.203,NO
3,3.434,0.624,1.127,7.335,NO
2,4.79,0.871,1.597,6.75,NO
5,5.164,0.885,1.574,6.197,NO
3,3.467,0.735,1.296,4.097,NO
6,4.538,0.908,1.563,9.983,NO
12,5.532,1.58,1.639,7.771,NO
2,2.638,0.931,0.931,10.862,NO
6,3.533,0.767,1.315,4.767,NO
7,3.34,0.563,1.502,4.225,NO
3,2.488,0.737,1.28,7.464,NO
4,3.035,0.837,1.07,6.593,NO
3,2.16,0,1.234,6.789,NO
3,3.784,0.808,1.266,6.42,NO
3,4.204,1.293,1.329,9.701,NO
1,4.297,1.485,1.22,8.752,NO
4,4.703,1.219,1.529,5.748,NO
1,4.279,0.926,1.23,6.221,NO
0,5.64,1.306,1.538,5.588,NO
4,5.514,1.331,1.585,8.746,NO
5,3.411,0.682,1.459,5.059,NO
5,4.689,1.293,1.491,7.437,NO
11,2.751,0.651,1.11,6.08,NO
1,3.447,0.862,1.34,6.75,NO
2,2.171,0.678,0.95,7.598,NO
2,4.592,0.918,1.49,12.857,NO
2,3.572,0.639,1.266,4.024,NO
3,4.466,1.168,1.351,6.802,NO
7,4.522,1.463,1.36,9.842,NO
1,5.51,1.212,1.824,6.833,NO
8,4.351,0.768,1.351,5.63,NO
1,4.883,1.293,1.516,6.319,NO
3,3.781,0.863,1.228,4.767,NO
1,4.241,0.565,1.366,6.503,NO
0,3.157,0.498,1.329,7.062,NO
8,4.339,1.125,1.411,6.268,NO
3,2.773,1.459,1.103,9.632,NO
1,2.52,0.72,1.17,8.28,NO
7,3.362,0.543,1.294,6.385,NO
1,5.07,2.155,1.394,3.549,NO
2,2.656,1.107,1.254,9.295,NO
0,3.987,0.906,1.389,8.698,NO
6,2.84,0.745,1.117,4.143,NO
0,4.168,0.758,1.484,6.205,NO
8,5.149,1.005,1.535,7.912,NO
3,4.765,1.588,1.412,6.807,NO
3,5.094,1.158,1.631,6.206,NO
1,4.516,1.263,1.462,6.167,NO
1,4,0.857,1.492,7.714,NO
9,3.468,0.991,1.073,6.936,NO
2,3.04,0.626,1.222,8.851,NO
3,5.185,1.43,1.391,7.152,NO
2,3.533,0.883,1.36,5.804,NO
3,3.171,0.725,1.359,8.517,NO
2,2.435,0.741,1.141,7.2,NO
8,6.284,0.698,1.733,11.871,NO
11,2.781,0.538,1.306,8.342,NO
9,2.501,0.507,1.194,3.886,NO
14,2.607,1.117,1.262,8.752,NO
11,7.714,2.7,1.65,9.836,NO
3,3.424,0.527,1.259,6.454,NO
6,3.879,0.776,1.534,6.362,NO
13,3.919,0.435,1.21,6.968,NO
5,3.758,0.495,1.44,5.736,NO
5,4.364,1.295,1.332,4.892,NO
9,3.212,0.7,1.237,3.848,NO
8,4.5,1.174,1.391,9.783,NO
2,3.396,1.316,1.222,7.769,NO
5,4.291,0.894,1.396,5.185,NO
1,2.594,0.825,1.231,11.437,NO
4,4.068,1.295,1.356,11.836,NO
2,1.116,0.223,1.091,11.38,NO
9,4.385,1.038,1.308,8.308,NO
15,4.696,1.826,1.304,6,NO
6,4.309,1.005,1.596,9.479,NO
3,3.55,0.538,1.482,8.928,NO
8,5.487,1.588,1.508,6.786,NO
2,2.455,0.263,1.13,5.961,NO
4,4.209,0.929,1.427,5.411,NO
4,2.455,0.234,1.208,9.818,NO
8,4.532,0.877,1.354,5.897,NO
4,4.338,1.218,1.408,8.626,NO
5,2.036,0.302,1.324,5.355,NO
3,4.46,0.916,1.354,4.42,NO
10,4.468,1.554,1.079,5.245,NO
4,5.415,2.288,1.508,5.72,NO
6,3.304,0.472,1.343,6.892,NO
9,2.5,0.25,1.417,7,NO
2,5.4,0.72,1.46,9.18,NO
0,5.556,1.278,1.549,6,NO
0,3.458,0.665,1.256,8.113,NO
6,5.285,1.554,1.525,5.063,NO
6,2.775,0.377,1.184,4.763,NO
6,4.238,0.628,1.43,5.651,NO
6,3.102,0.437,1.18,5.417,NO
7,4.256,0.665,1.433,7.049,NO
1,5.661,1.089,1.476,9.363,NO
4,2.849,0.124,1.349,7.927,NO
0,3.194,0.498,1.276,6.18,NO
10,4.289,0.585,1.31,5.458,NO
1,4.09,0.465,1.497,4.926,NO
15,3.161,0.79,1.332,6.322,NO
4,3.516,0.753,1.186,8.163,NO
1,3.409,0.974,1.389,7.088,NO
6,1.755,0.097,0.964,6.238,NO
1,3.15,0.45,1.263,9.675,NO
9,5.702,1.425,1.584,5.115,NO
11,2.233,0.609,1.218,6.902,NO
6,3.788,0.963,1.252,4.976,NO
5,3.394,0.463,1.286,6.326,NO
6,3.83,0.654,1.401,4.671,NO
3,3.508,0.946,1.169,6.031,NO
1,3.545,1.5,1.091,8.455,NO
3,4.831,1.449,1.414,6.602,NO
2,4.232,1.168,1.459,5.4,NO
1,3.915,0.945,1.335,10.26,NO
2,3.628,0.427,1.34,4.482,NO
4,3.629,1.452,1.452,10.161,NO
8,4.574,1.918,1.344,10.328,NO
11,4.32,1.152,1.352,3.888,NO
7,2.355,0.589,1.234,5.972,NO
11,2.776,0.631,1.374,4.794,NO
2,4.655,1.086,1.534,8.69,NO
3,4.901,0.624,1.525,5.792,NO
1,3.094,0.563,1.109,9.422,NO
8,4.98,1.096,1.508,4.34,NO
10,3.735,1.015,1.331,8.283,NO
7,2.708,0.648,1.089,3.966,NO
6,5.206,0.971,1.598,5.912,NO
15,3.057,0.594,1.198,4.67,NO
5,3.593,0.411,1.483,6.981,NO
0,5.442,1.256,1.535,5.023,NO
1,5.108,1.168,1.768,9.341,NO
4,4.276,0.611,1.446,5.192,NO
2,4.782,1.398,1.594,5.738,NO
0,4.58,1.326,1.54,5.304,NO
7,3.842,1.263,1.345,5.316,NO
14,1.548,0.344,1.032,6.191,NO
2,4.8,0.3,1.367,4.35,NO
7,4.641,1.198,1.425,5.739,NO
3,3.946,0.623,1.315,3.946,NO
4,2.736,1.095,1.48,7.297,NO
13,3.166,0.967,1.349,3.078,NO
2,3.644,0.58,1.408,9.856,NO
1,4.376,0.978,1.288,5.772,NO
2,2.523,0.252,1.374,7.192,NO
6,3.761,0.482,1.414,5.979,NO
1,2.866,0.804,1.156,4.324,NO
4,5.25,1.2,1.606,4.75,NO
3,5.245,1.165,1.424,8.353,NO
2,3.955,1,1.354,7.364,NO
5,3.252,0.718,1.227,7.525,NO
4,3.75,0.75,1.458,5.125,NO
4,1.971,0.6,0.99,8.486,NO
1,4.897,0.926,1.446,5.25,NO
5,1.671,0.386,1.029,6.043,NO
3,4.05,0.81,1.14,8.1,NO
4,3.81,0.828,1.399,6.129,NO
6,3.864,0.92,1.267,7.681,NO
6,4.369,1.072,1.379,4.947,NO
3,3.713,0.642,1.406,3.667,NO
5,2.753,0.433,1.278,6.619,NO
7,3.275,0.635,1.314,4.611,NO
2,3.355,0.32,1.491,6.071,NO
6,3.553,0.853,1.089,5.826,NO
1,4.482,1.387,1.304,5.443,NO
10,4.696,0.391,1.652,3.326,NO
2,2.8,0.4,1.222,11,NO
3,4.208,0.789,1.339,4.602,NO
3,3.58,0.92,1.398,7.159,NO
4,4.39,0.571,1.366,5.707,NO
2,5.161,1.304,1.666,4.292,NO
4,3.81,1.16,1.417,6.791,NO
1,4.774,1.317,1.305,10.317,NO
12,5.36,0.596,1.632,5.36,NO
3,2.455,0.859,1.255,13.009,NO
3,4.594,1.127,1.531,7.628,NO
1,5.17,0.766,1.362,5.936,NO
2,5.069,1.067,1.672,4.322,NO
