HR,RBI,AVG,OPS,yrsInLeague,ASG_Result
25,70,0.280943026,0.845654313,2,YES
30,85,0.279467681,0.842063916,3,YES
19,42,0.319371728,0.925235117,0,YES
24,67,0.272727273,0.860678195,6,YES
31,101,0.287946429,0.960869527,6,YES
18,87,0.305471125,0.808660657,6,YES
14,72,0.306306306,0.785382566,3,YES
35,113,0.320069204,0.981322263,2,YES
26,78,0.301659125,0.878770739,2,YES
10,52,0.26705653,0.689994216,4,YES
20,82,0.285992218,0.849727229,1,YES
19,80,0.251485149,0.760168229,4,YES
12,59,0.303643725,0.82164423,2,YES
23,86,0.256457565,0.754294117,8,YES
27,97,0.295010846,0.873505676,4,YES
16,81,0.277680141,0.766088806,4,YES
16,50,0.252155172,0.732261273,5,YES
19,58,0.248275862,0.776894517,3,YES
7,52,0.275773196,0.753074292,5,YES
20,89,0.283363803,0.807857703,7,YES
10,77,0.277337559,0.736821372,9,YES
20,61,0.262939959,0.795832498,1,YES
14,58,0.292982456,0.799458453,5,YES
23,75,0.272921109,0.796477204,3,YES
20,98,0.275684932,0.775578244,7,YES
5,22,0.24566474,0.625790974,2,YES
18,50,0.202054795,0.697414936,2,YES
7,42,0.23325062,0.647762923,3,YES
28,91,0.289473684,0.849379546,3,YES
19,87,0.306889353,0.866435937,1,YES
38,125,0.26272578,0.838309417,5,YES
23,110,0.292913386,0.836590228,12,YES
13,57,0.304216867,0.782950483,9,YES
11,64,0.270386266,0.795935187,9,YES
1,26,0.273504274,0.674643875,0,YES
23,65,0.243137255,0.75872211,4,YES
16,71,0.278372591,0.826490395,17,YES
10,44,0.261904762,0.756654457,1,YES
13,75,0.261510129,0.711431976,6,YES
6,54,0.270909091,0.683023001,7,YES
12,47,0.261728395,0.745233119,5,YES
8,46,0.234608985,0.629562258,0,YES
14,52,0.306985294,0.856893382,4,YES
4,46,0.304535637,0.79311363,2,YES
29,87,0.254174397,0.768257422,1,YES
5,35,0.291390728,0.735624073,3,YES
15,42,0.276666667,0.805238095,3,YES
16,67,0.254285714,0.820338983,2,YES
3,43,0.288924559,0.720929643,2,YES
7,52,0.271523179,0.781890908,1,YES
11,61,0.284172662,0.748481734,5,YES
14,62,0.296934866,0.777707347,0,YES
29,83,0.268817204,0.829949435,7,YES
19,85,0.272727273,0.788177448,2,YES
6,31,0.240469208,0.648677112,2,YES
6,49,0.203488372,0.537935016,11,YES
12,51,0.312820513,0.834992459,0,YES
25,100,0.298210736,0.900484656,4,YES
9,44,0.226804124,0.641384389,3,YES
8,37,0.311053985,0.81769045,1,YES
19,47,0.291946309,0.921643797,0,YES
39,115,0.314779271,1.032066294,4,YES
6,36,0.267343486,0.693491293,3,YES
19,76,0.288808664,0.820688343,9,YES
0,35,0.229885057,0.589359892,2,YES
27,102,0.306086957,0.911606115,1,YES
12,49,0.262820513,0.681676048,0,YES
34,112,0.25982906,0.797416143,3,YES
16,61,0.263736264,0.748493091,0,YES
20,96,0.273830156,0.811212646,1,YES
17,87,0.308492201,0.850128826,4,YES
13,40,0.235119048,0.756984326,5,YES
15,88,0.309833024,0.8503689,6,YES
13,64,0.265979381,0.721107308,2,YES
13,72,0.314091681,0.813733838,8,YES
2,26,0.291970803,0.786964252,4,YES
10,58,0.248421053,0.694911941,1,YES
19,95,0.291457286,0.821706352,4,YES
10,66,0.274939173,0.741569154,4,YES
3,51,0.279017857,0.679227941,7,YES
4,34,0.271889401,0.692630633,3,YES
23,76,0.315192744,0.911621315,3,YES
29,81,0.331768388,0.947855223,2,YES
