G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,yrsInLeague,ASG_Result
147,569,72,173,28,10,29,94,1,2,54,75,9,0,1,5,12,4,YES
155,581,81,158,19,5,14,96,31,18,56,93,4,4,11,9,11,8,YES
97,289,28,71,14,2,2,20,1,3,32,14,6,1,6,1,8,3,YES
134,463,71,139,24,4,23,78,2,1,40,73,11,3,0,5,14,6,YES
125,463,53,139,31,5,3,41,10,8,29,71,7,6,4,4,14,0,YES
116,436,59,118,21,2,2,31,2,5,38,36,0,0,3,2,8,4,YES
133,510,64,155,32,4,7,77,1,3,36,50,3,3,4,10,20,3,YES
146,593,92,181,23,16,8,93,38,14,29,54,2,1,8,6,6,10,YES
161,646,101,182,46,3,30,100,0,0,65,140,9,3,0,6,6,3,YES
141,500,64,147,21,7,7,70,16,7,62,61,5,6,1,5,16,3,YES
162,615,82,164,38,1,25,82,1,2,21,137,0,8,0,3,16,3,YES
128,429,54,117,25,6,6,50,12,10,38,81,0,6,5,2,10,3,YES
151,542,93,152,24,0,42,110,13,3,84,94,12,11,0,7,6,7,YES
162,592,97,163,35,5,26,84,24,12,76,103,11,9,0,2,12,3,YES
114,349,37,106,17,3,8,50,0,2,11,42,4,3,0,3,8,4,YES
140,457,45,97,21,1,15,54,1,0,35,74,1,3,1,4,12,3,YES
116,447,73,124,31,2,8,50,7,2,49,71,0,2,6,1,7,5,YES
97,333,41,99,16,1,10,55,1,0,24,75,0,4,0,2,18,2,YES
152,573,113,156,39,0,44,134,1,1,86,141,7,15,0,7,11,6,YES
159,653,99,180,39,6,14,66,78,13,42,81,6,5,3,4,12,3,YES
131,525,84,161,23,6,3,38,31,17,24,34,3,2,5,5,10,5,YES
147,551,72,168,40,3,13,90,7,10,41,127,13,10,0,4,11,2,YES
109,304,38,67,21,1,12,42,2,1,36,89,2,5,0,3,6,1,YES
136,482,70,138,29,6,18,85,17,6,38,53,9,5,3,7,9,3,YES
85,302,29,82,14,1,7,48,3,0,29,76,3,0,0,5,8,4,YES
87,328,42,95,14,6,10,35,25,11,27,53,6,0,0,0,6,1,YES
120,374,46,114,22,4,8,43,2,1,28,39,1,1,0,5,13,2,YES
93,254,20,54,16,2,1,22,1,0,30,57,7,4,6,4,15,1,YES
150,575,101,185,44,2,22,102,6,1,54,48,0,10,0,4,21,4,YES
161,564,71,163,31,10,2,51,13,6,43,41,2,2,7,2,12,2,YES
156,615,77,156,32,2,23,91,18,4,44,91,10,1,0,8,15,2,YES
157,558,73,161,33,7,9,72,36,14,72,66,16,0,1,5,5,9,YES
96,369,58,104,25,2,16,47,5,4,31,93,0,9,1,0,9,1,YES
128,453,65,142,21,5,9,54,11,7,42,39,8,5,3,6,15,1,YES
130,408,29,105,18,0,3,35,0,3,38,31,12,0,3,3,14,8,YES
121,420,75,126,30,0,22,91,24,3,50,82,5,8,0,9,4,7,YES
145,558,67,154,23,2,4,49,13,7,49,56,2,2,10,3,11,5,YES
142,477,47,111,20,8,8,49,7,8,25,78,0,0,5,7,16,8,YES
152,613,88,186,23,6,10,54,25,11,56,72,4,2,1,4,17,6,YES
122,455,76,118,22,2,11,51,17,8,23,84,1,2,5,1,5,3,YES
148,668,94,200,32,6,11,55,35,11,22,64,5,2,4,2,12,5,YES
145,535,70,151,25,2,14,65,9,7,28,53,1,9,2,4,19,1,YES
137,492,73,138,33,5,18,68,9,3,56,147,2,4,0,4,3,4,YES
139,514,88,145,30,4,29,81,12,5,48,56,12,2,4,4,11,8,YES
113,451,91,146,26,6,34,97,15,5,29,112,1,7,0,5,13,0,YES
119,469,76,144,35,0,22,92,2,1,37,89,1,1,0,7,15,2,YES
152,542,67,135,26,2,25,78,5,4,39,185,8,2,5,4,9,10,YES
158,630,106,175,33,4,35,100,35,12,50,142,2,5,1,3,6,5,YES
146,514,58,142,26,2,8,69,14,11,52,69,10,2,0,9,10,4,YES
94,289,35,79,13,1,5,37,4,2,30,72,3,1,1,1,3,1,YES
161,672,83,194,39,2,28,123,13,6,27,100,4,0,0,5,12,7,YES
137,529,54,146,22,1,15,72,2,2,18,72,1,0,0,8,22,3,YES
149,577,72,154,26,5,8,51,11,8,35,52,3,1,10,3,15,5,YES
157,579,87,166,34,9,15,67,9,6,61,78,5,2,4,4,17,4,YES
159,641,101,198,38,6,31,108,7,8,41,62,3,2,0,6,15,5,YES
147,543,93,158,39,6,28,105,16,3,69,109,5,9,0,7,10,2,YES
159,605,42,162,41,2,8,73,1,0,25,85,7,4,4,5,13,7,YES
157,606,92,172,25,1,23,100,2,4,80,67,3,4,8,7,22,2,YES
150,558,58,143,21,3,9,62,5,5,36,74,3,4,11,6,11,2,YES
126,426,54,113,16,1,11,52,12,6,24,81,0,5,2,1,9,2,YES
153,591,103,180,37,0,31,99,11,5,54,86,3,7,0,6,10,5,YES
157,564,93,165,36,11,21,82,34,8,56,122,4,4,3,3,6,4,YES
123,464,86,151,33,3,25,108,27,7,50,94,5,11,2,8,5,6,YES
120,359,18,91,14,1,2,34,3,3,28,36,8,1,13,1,11,2,YES
153,579,80,170,26,4,29,97,12,10,43,66,4,3,1,12,11,12,YES
153,567,86,157,49,3,14,69,0,1,73,100,2,2,0,3,10,9,YES
140,465,47,132,17,1,17,65,7,3,43,127,4,5,0,5,8,2,YES
132,469,57,104,25,0,20,58,1,2,26,90,2,13,0,2,16,7,YES
153,538,75,146,23,1,24,94,3,7,86,55,11,8,6,5,14,5,YES
160,588,67,145,34,4,11,65,2,5,42,101,2,4,13,2,11,10,YES
144,484,78,124,19,5,21,72,2,4,79,85,8,2,0,6,1,3,YES
148,509,80,143,23,5,25,70,5,4,58,136,5,1,0,5,12,2,YES
151,526,71,147,17,1,30,85,0,0,67,88,3,1,0,11,8,3,YES
104,382,66,122,21,2,19,42,11,8,36,97,6,11,0,3,6,0,YES
134,418,73,114,16,3,24,67,20,1,57,119,1,4,0,3,2,6,YES
128,448,79,129,39,2,31,101,0,0,58,83,8,1,0,2,9,6,YES
155,658,102,201,44,5,18,87,20,10,35,94,3,1,7,5,12,6,YES
160,666,106,204,33,9,14,72,13,2,36,103,1,1,3,7,14,3,YES
159,578,114,185,39,5,35,113,7,6,68,77,6,6,0,4,14,2,YES
157,663,134,200,36,10,26,78,48,10,77,189,7,2,1,2,6,2,YES
127,513,62,137,23,4,10,52,3,2,28,62,2,1,10,4,15,4,YES
145,514,82,147,43,1,20,82,18,3,60,130,4,4,0,9,9,1,YES
148,505,60,127,25,7,19,80,5,5,48,85,7,5,1,7,9,4,YES
