G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,yrsInLeague,ASG_Result
122,428,34,105,18,0,5,47,0,0,15,34,3,4,6,6,15,4,NO
87,303,38,69,9,2,1,17,32,10,20,62,0,3,2,2,5,1,NO
119,357,46,93,14,2,10,53,0,1,31,28,1,1,3,4,14,8,NO
122,426,40,121,27,0,11,60,7,5,21,23,2,1,2,7,16,8,NO
139,458,67,114,17,6,13,57,23,5,48,55,2,5,9,9,8,3,NO
116,377,34,113,19,2,10,55,2,1,29,56,2,6,4,4,13,11,NO
82,288,39,79,15,5,5,31,5,2,13,52,0,1,3,3,10,3,NO
151,615,83,190,19,10,5,51,4,4,38,61,1,2,13,5,11,12,NO
154,637,89,175,27,6,8,52,31,8,31,76,1,2,12,7,11,4,NO
150,581,66,145,37,3,17,68,13,11,21,114,5,3,4,2,5,1,NO
126,438,64,109,18,4,14,40,24,3,51,78,12,2,3,1,2,2,NO
155,677,97,201,21,8,1,47,19,11,30,18,3,4,4,3,9,10,NO
114,398,59,108,16,3,18,58,3,7,35,73,0,7,1,3,12,1,NO
129,378,56,92,15,0,15,58,1,3,48,98,5,12,3,0,11,1,NO
128,398,47,104,28,4,11,64,7,4,19,87,0,4,0,7,8,8,NO
87,286,27,76,17,2,12,39,1,0,9,74,7,7,4,3,10,0,NO
108,415,64,114,28,3,15,74,7,2,31,70,3,0,2,6,7,2,NO
86,313,40,68,10,0,7,32,2,2,35,63,0,8,0,1,11,6,NO
131,343,38,97,11,3,2,33,8,9,33,24,1,1,11,0,6,5,NO
88,284,29,78,16,3,4,36,3,2,21,50,2,4,2,3,7,10,NO
145,517,65,138,34,4,26,78,6,2,32,105,1,7,0,5,10,3,NO
79,262,35,58,14,1,13,36,1,1,18,104,0,5,0,0,5,3,NO
157,545,65,137,21,4,14,83,13,7,97,105,8,0,3,9,19,9,NO
125,363,45,98,16,2,6,48,22,5,34,66,8,1,1,4,13,6,NO
136,517,76,157,33,1,16,69,13,1,21,105,2,4,1,5,10,4,NO
109,314,39,88,14,1,9,41,8,7,38,64,3,6,0,4,4,4,NO
95,315,28,70,9,2,2,21,2,0,38,70,7,1,3,2,10,8,NO
146,543,44,156,28,2,4,61,1,1,32,21,12,0,6,3,11,9,NO
101,334,35,73,8,2,0,25,13,3,25,61,0,2,7,1,6,3,NO
124,380,50,102,12,3,5,35,7,4,43,39,1,1,1,2,10,6,NO
114,312,37,89,15,4,4,42,2,4,19,41,2,2,9,4,8,0,NO
130,395,50,116,31,2,10,60,0,0,34,61,5,2,2,5,11,3,NO
130,523,76,156,23,3,2,47,5,4,31,52,4,9,1,0,6,2,NO
120,367,65,100,21,2,12,45,19,7,28,50,2,2,0,0,7,6,NO
111,349,54,88,14,1,16,57,2,2,75,73,10,0,1,5,11,4,NO
91,269,24,84,13,5,0,34,4,3,20,20,5,1,9,1,9,9,NO
100,283,19,62,6,1,2,20,4,5,14,37,0,1,2,1,4,1,NO
110,366,52,95,20,2,15,60,1,1,31,83,0,8,2,5,4,0,NO
150,500,67,133,19,4,0,35,10,8,73,48,6,7,6,4,9,6,NO
112,336,37,70,11,3,6,25,5,3,27,80,1,8,8,2,7,5,NO
133,457,71,133,24,2,8,62,2,4,99,84,4,12,1,5,15,8,NO
132,434,62,97,18,0,25,56,1,0,50,106,1,6,0,3,13,7,NO
147,527,77,151,41,2,15,81,6,3,59,95,3,5,0,10,15,9,NO
116,353,45,90,10,5,0,30,12,7,34,37,2,1,8,6,3,3,NO
153,362,51,115,17,4,7,54,5,0,26,36,5,1,3,2,6,11,NO
161,570,93,156,25,2,24,98,0,4,86,121,7,5,1,6,16,7,NO
94,341,40,105,22,2,11,52,3,0,15,91,2,2,0,4,8,1,NO
116,402,50,114,14,9,2,27,8,2,14,63,0,1,6,3,4,2,NO
114,451,63,120,24,4,7,46,13,5,34,76,2,3,3,5,11,2,NO
141,528,89,158,26,2,14,76,5,4,57,62,3,10,7,2,21,2,NO
102,331,32,74,15,0,14,34,1,2,20,87,2,7,3,2,6,2,NO
153,585,87,161,31,3,34,109,8,3,65,119,13,1,0,2,8,4,NO
153,562,56,135,23,1,3,49,1,5,45,37,2,2,21,5,10,6,NO
131,462,66,109,32,1,21,74,0,1,55,110,3,4,0,1,9,1,NO
147,487,51,115,20,9,9,52,11,7,33,106,3,8,3,2,10,2,NO
94,269,21,58,11,0,11,41,0,0,18,53,5,0,4,0,14,2,NO
159,582,89,158,33,8,31,90,27,4,40,129,8,4,1,4,10,2,NO
120,287,32,71,18,2,9,48,3,3,29,71,3,2,1,2,2,3,NO
89,280,41,72,17,3,12,38,6,2,30,82,7,1,0,2,13,1,NO
107,308,37,66,15,0,7,33,1,2,45,48,0,7,4,0,11,6,NO
144,435,40,112,15,3,0,35,12,5,43,76,7,2,1,3,13,10,NO
109,256,36,71,6,2,14,40,0,1,38,43,1,0,0,0,11,10,NO
86,310,35,90,14,5,3,31,6,6,24,41,0,3,12,1,6,4,NO
110,277,43,75,11,2,11,46,1,0,38,58,5,1,0,2,10,7,NO
151,465,59,121,29,1,13,51,6,7,39,65,0,10,15,4,13,8,NO
152,563,76,152,28,3,12,67,13,7,82,99,1,2,3,2,15,5,NO
84,291,44,83,18,0,12,43,6,1,24,52,1,10,2,4,5,3,NO
88,329,40,94,12,9,8,36,6,3,16,60,0,1,1,1,9,0,NO
162,656,96,181,19,13,2,47,57,17,41,45,1,9,10,2,10,5,NO
118,312,69,91,11,3,1,29,25,6,47,55,0,5,4,1,6,5,NO
156,611,85,148,29,5,32,85,11,1,55,151,8,2,1,4,15,3,NO
159,587,70,151,26,5,21,75,7,5,37,96,4,4,1,6,17,4,NO
140,514,85,148,34,5,21,72,17,4,50,142,0,3,0,1,2,3,NO
137,455,49,124,23,0,5,50,2,1,80,63,7,1,2,6,12,7,NO
71,274,44,74,25,0,2,22,14,2,25,51,0,2,5,0,4,12,NO
146,499,65,154,32,4,15,80,0,5,39,70,7,2,1,4,13,4,NO
146,563,85,146,28,8,19,60,19,10,46,118,4,3,2,4,7,1,NO
95,309,19,80,19,1,7,38,1,0,17,56,5,0,3,3,11,1,NO
82,303,41,89,20,2,1,36,1,1,24,41,2,0,1,3,14,4,NO
125,344,69,85,16,4,24,64,2,3,88,96,6,6,0,3,4,6,NO
157,602,84,175,37,0,34,103,3,3,63,128,5,3,0,5,16,3,NO
132,509,62,130,30,6,19,74,33,12,14,113,1,9,4,2,12,2,NO
148,524,55,135,22,2,19,77,1,0,32,113,1,14,0,6,17,13,NO
129,451,69,108,12,3,23,72,1,1,62,84,6,1,0,5,15,2,NO
144,470,57,128,43,1,15,70,3,2,49,107,4,8,0,3,12,3,NO
123,449,60,119,27,2,22,75,0,0,48,105,6,2,0,2,10,10,NO
118,466,69,133,19,11,3,31,30,13,39,47,0,1,11,1,6,4,NO
136,423,66,101,16,8,3,31,38,15,57,118,0,4,11,3,6,8,NO
112,370,36,77,18,1,6,33,4,5,14,77,0,3,5,1,12,1,NO
133,404,55,120,28,2,21,80,5,2,53,69,8,2,0,7,6,7,NO
79,260,37,61,9,0,18,44,0,1,31,95,2,4,0,0,3,4,NO
147,457,66,119,21,6,8,49,36,9,28,104,0,8,12,3,6,2,NO
113,322,30,62,10,5,10,45,1,2,52,103,3,0,3,5,6,1,NO
67,262,37,85,16,3,1,33,20,5,16,32,3,0,0,5,7,0,NO
87,325,37,72,14,0,6,35,6,1,34,90,3,0,0,2,10,1,NO
136,408,46,98,17,1,8,41,11,11,21,127,0,8,6,2,5,1,NO
119,337,49,101,21,1,12,48,1,0,56,57,3,0,2,4,10,11,NO
149,576,66,156,29,0,25,78,0,1,23,142,0,4,0,2,16,1,NO
126,436,42,108,17,4,5,55,14,12,25,29,1,3,3,10,8,2,NO
87,258,35,63,13,3,7,28,3,2,32,49,0,0,2,1,5,15,NO
127,377,33,100,21,3,5,43,2,7,30,49,10,1,0,3,11,5,NO
160,651,96,179,18,3,1,47,68,18,45,47,0,21,15,2,8,10,NO
125,340,42,96,21,4,8,48,4,1,22,54,3,9,4,4,13,12,NO
130,463,50,117,23,0,12,47,0,1,23,40,4,7,0,5,14,3,NO
145,424,70,110,22,6,15,47,18,11,36,56,2,0,1,1,3,6,NO
157,566,85,145,33,2,27,94,2,1,75,112,7,5,1,5,12,5,NO
158,642,91,193,26,8,4,41,61,16,61,73,7,2,7,0,9,3,NO
109,278,45,93,20,4,7,33,18,9,28,33,3,2,2,4,3,8,NO
84,285,40,76,13,5,5,31,11,5,16,55,1,2,2,2,6,2,NO
101,299,41,72,15,2,8,39,18,1,26,99,1,4,0,3,5,0,NO
101,262,40,65,17,1,12,43,4,3,39,54,4,4,0,4,7,3,NO
80,264,30,63,11,3,2,25,7,4,17,31,0,1,1,1,6,3,NO
94,352,57,90,12,3,2,24,43,8,39,40,0,3,4,3,4,4,NO
145,519,89,138,23,6,10,46,27,15,52,73,3,1,4,2,3,4,NO
100,341,61,97,17,1,7,41,18,8,39,74,1,1,9,1,8,2,NO
89,270,32,64,12,1,4,29,8,3,23,65,0,5,10,2,5,4,NO
122,296,28,67,15,1,5,27,8,3,43,67,10,3,8,1,5,9,NO
104,338,49,88,13,0,7,41,2,1,35,40,1,2,2,2,13,5,NO
109,366,50,94,21,0,9,37,2,2,29,37,0,1,2,3,2,4,NO
144,527,79,136,34,4,22,86,17,6,53,119,6,0,1,6,13,2,NO
92,254,27,71,18,3,2,40,0,4,14,16,4,0,4,3,6,3,NO
108,399,48,108,22,0,2,37,5,4,57,34,1,2,4,3,8,7,NO
118,348,23,77,12,1,6,37,0,3,44,86,3,3,3,3,7,1,NO
115,253,30,64,12,0,8,21,3,3,29,40,6,1,1,5,5,4,NO
88,251,24,63,11,1,0,21,1,1,26,20,0,0,5,0,3,8,NO
86,298,27,65,15,0,5,35,3,2,18,51,0,1,4,2,4,2,NO
139,378,64,111,15,4,4,30,12,3,28,83,0,3,10,5,6,0,NO
98,358,34,110,21,2,4,38,9,5,23,65,2,1,1,6,9,1,NO
96,281,28,73,14,1,7,40,0,0,15,44,1,2,2,6,9,1,NO
128,404,53,95,24,1,9,54,8,1,65,79,1,2,0,2,12,2,NO
135,485,61,135,25,3,21,74,0,0,24,120,3,3,0,6,13,2,NO
153,494,85,139,37,8,27,85,20,13,75,111,8,5,3,0,8,4,NO
124,443,44,122,22,0,11,55,0,1,33,57,0,0,0,2,23,1,NO
157,612,92,174,37,4,25,85,3,3,63,101,2,6,0,4,16,3,NO
153,624,94,188,27,10,8,60,70,12,49,74,3,6,6,6,13,2,NO
140,392,57,117,21,5,7,45,12,11,20,61,2,1,14,4,5,2,NO
144,403,41,94,26,2,15,51,2,0,31,101,0,2,0,4,10,6,NO
159,641,99,183,40,2,11,53,23,8,44,85,1,10,9,1,19,3,NO
135,495,86,150,28,4,7,45,11,1,44,94,3,7,4,3,8,1,NO
91,291,35,74,19,3,14,40,2,1,22,81,2,10,0,1,7,1,NO
107,256,39,55,9,3,14,32,2,2,40,45,3,4,1,0,4,3,NO
124,368,48,88,23,0,6,41,0,1,38,37,1,0,3,4,12,10,NO
99,425,58,120,22,4,3,30,9,9,22,31,1,0,3,2,7,3,NO
141,505,65,135,18,2,10,59,23,6,45,102,1,1,1,3,16,8,NO
120,337,34,78,10,0,9,35,3,0,30,89,0,4,13,7,6,0,NO
132,503,59,148,22,1,4,44,12,6,47,93,1,7,1,2,12,4,NO
118,417,57,115,26,1,22,66,0,1,37,135,0,3,0,1,4,4,NO
123,425,45,118,20,0,6,45,3,2,31,45,5,2,0,0,21,11,NO
138,449,64,110,18,5,23,64,4,3,57,118,4,2,1,2,7,2,NO
138,480,47,116,26,2,13,53,1,1,33,75,3,2,1,5,11,4,NO
134,373,52,111,24,4,4,47,7,5,48,77,1,0,7,5,2,7,NO
95,324,33,82,17,2,10,33,2,2,32,44,3,4,1,1,7,3,NO
113,319,60,76,10,1,0,20,50,7,44,50,0,2,23,0,2,1,NO
116,381,38,111,16,3,2,38,3,3,26,64,1,0,4,4,13,3,NO
155,605,68,177,30,7,5,52,35,5,27,100,2,8,8,0,14,4,NO
124,297,37,97,15,4,7,32,5,5,11,49,3,9,1,4,9,3,NO
101,326,42,86,14,1,1,33,6,2,56,72,1,6,0,5,14,8,NO
101,348,61,98,13,6,21,54,9,5,39,113,1,14,1,5,6,2,NO
82,261,27,70,13,0,1,22,12,4,34,51,0,4,3,5,13,8,NO
109,349,47,94,20,1,9,38,2,1,26,74,1,3,2,3,13,11,NO
137,511,76,138,25,6,25,96,4,8,61,157,2,1,2,3,10,2,NO
140,496,65,134,24,0,21,80,4,4,30,88,2,8,6,4,11,1,NO
121,392,35,95,21,5,4,34,6,3,20,96,4,2,5,2,6,0,NO
152,550,87,156,30,0,15,82,0,0,72,48,5,5,3,8,10,9,NO
104,352,45,95,16,1,0,28,13,5,24,47,1,1,4,3,12,7,NO
100,333,46,86,7,4,12,40,5,4,12,57,0,3,5,3,0,6,NO
81,281,37,54,11,3,8,27,9,3,24,84,0,2,4,2,0,0,NO
102,347,45,81,16,0,18,56,1,0,18,108,1,3,1,3,4,2,NO
102,369,38,83,20,1,12,45,6,1,42,113,1,0,0,1,2,0,NO
120,328,29,70,7,0,1,17,8,9,19,60,2,2,3,1,10,0,NO
151,542,79,157,33,2,27,78,9,8,35,106,1,0,4,8,10,2,NO
158,599,78,153,27,6,30,99,4,7,67,105,14,3,1,13,18,5,NO
149,562,100,163,36,5,16,64,27,14,55,97,2,6,1,1,5,4,NO
112,341,55,88,16,11,8,30,18,8,22,76,0,3,1,3,5,9,NO
128,426,52,122,12,3,0,27,2,6,64,39,3,0,5,6,8,3,NO
120,328,44,91,13,8,4,42,12,7,28,36,1,4,5,2,9,1,NO
116,388,40,110,19,0,5,36,0,1,39,77,9,3,2,2,11,3,NO
128,509,61,120,22,0,12,66,18,6,50,129,1,4,0,5,20,8,NO
144,473,66,137,21,3,10,68,3,1,47,62,2,3,0,5,16,3,NO
94,288,26,72,11,1,9,42,1,0,21,44,5,0,1,2,8,2,NO
144,506,61,147,25,1,18,76,3,1,20,46,1,13,0,3,15,0,NO
146,488,41,118,24,3,3,52,3,1,35,29,9,4,9,5,16,2,NO
155,624,91,166,31,7,3,40,24,12,56,90,4,4,7,4,8,3,NO
156,596,76,167,33,2,20,99,7,5,49,85,13,1,3,6,15,3,NO
158,568,70,136,28,1,13,51,21,6,28,121,1,6,13,3,13,4,NO
145,504,78,144,16,6,12,55,12,6,55,69,7,3,5,6,4,11,NO
113,267,32,67,10,2,0,14,6,7,22,43,3,1,5,2,6,11,NO
114,350,46,97,23,1,10,44,0,1,40,70,2,2,2,1,11,2,NO
133,440,59,119,23,6,2,37,26,17,64,57,4,0,9,4,10,0,NO
124,408,64,112,29,1,13,67,2,1,53,59,3,3,0,6,7,9,NO
129,416,49,125,23,0,2,37,19,4,29,64,1,7,5,3,5,6,NO
142,519,66,152,41,2,20,81,0,1,55,89,3,6,0,8,11,2,NO
156,469,38,118,17,5,1,37,1,1,74,46,8,0,5,5,7,7,NO
149,493,58,121,22,3,11,50,12,9,62,66,4,2,3,4,10,10,NO
147,545,75,121,27,7,21,58,16,6,60,163,2,4,4,0,3,6,NO
147,541,51,150,26,3,13,81,2,3,47,53,5,0,1,7,15,6,NO
126,441,49,114,21,7,10,47,8,4,19,70,2,2,1,4,11,1,NO
81,268,38,50,9,2,15,37,0,2,32,98,0,3,1,0,4,2,NO
119,437,64,125,19,3,10,60,23,7,38,48,0,0,5,7,4,5,NO
136,463,84,139,28,1,26,88,0,1,90,100,5,3,0,10,4,6,NO
102,348,41,80,16,1,8,39,2,2,27,33,2,3,1,0,10,8,NO
138,341,50,80,14,3,12,36,12,2,17,70,2,7,1,2,11,3,NO
124,432,55,106,17,1,21,59,3,3,32,111,1,5,7,2,13,5,NO
69,263,41,77,17,1,14,40,6,0,14,40,0,3,0,3,7,0,NO
101,316,33,79,14,1,9,42,0,0,39,38,5,2,2,2,9,3,NO
125,440,57,105,15,2,12,47,20,3,32,91,2,5,0,2,13,6,NO
137,428,64,102,14,3,26,61,4,3,78,140,20,1,1,2,6,3,NO
129,448,41,100,23,2,12,48,5,4,42,101,3,5,2,2,11,8,NO
147,508,81,153,41,1,25,100,7,2,84,82,6,7,0,6,7,4,NO
114,357,35,77,14,2,4,35,5,2,32,47,1,6,6,4,11,3,NO
112,314,39,87,15,0,1,35,0,1,60,39,4,2,1,3,9,2,NO
98,305,29,70,13,0,16,47,0,0,22,71,4,4,2,3,5,12,NO
108,290,41,82,19,2,1,37,1,3,19,35,2,1,1,6,3,12,NO
153,577,79,149,24,7,7,59,33,11,25,142,0,7,3,2,7,1,NO
99,276,39,71,8,3,2,40,2,3,25,42,1,1,3,4,7,2,NO
108,369,41,97,17,1,22,52,0,0,22,97,3,8,0,2,9,1,NO
128,477,58,136,23,6,10,64,1,2,32,53,3,1,1,2,16,5,NO
108,385,48,110,16,2,1,36,4,4,19,27,0,3,9,1,12,2,NO
104,289,30,61,13,0,3,26,2,3,18,46,0,1,6,3,9,4,NO
137,533,67,148,18,5,22,62,6,5,36,167,0,4,1,1,10,4,NO
67,257,27,62,8,1,1,12,8,4,13,21,0,3,11,1,5,0,NO
148,536,73,148,30,7,8,52,17,13,45,76,0,4,4,4,10,6,NO
138,473,84,152,29,3,28,101,4,3,77,74,5,3,6,7,11,5,NO
114,371,37,91,21,1,11,50,0,2,26,84,2,7,4,1,7,2,NO
110,272,32,71,7,0,5,35,10,5,7,39,3,4,2,5,8,11,NO
116,426,54,116,26,8,5,50,25,4,42,57,6,6,1,3,3,3,NO
139,447,59,122,21,2,15,70,5,5,70,82,5,3,1,4,11,4,NO
153,507,92,135,27,8,20,59,7,8,81,161,7,5,6,4,5,1,NO
156,584,103,174,41,6,26,106,22,10,75,124,5,12,0,4,13,7,NO
149,522,66,142,20,2,8,67,6,7,48,56,10,9,2,3,13,10,NO
92,272,28,51,10,0,10,34,0,1,41,83,1,1,0,3,11,9,NO
133,370,48,103,26,0,12,57,1,2,27,70,2,6,0,7,8,3,NO
141,562,65,157,27,0,0,25,32,18,23,64,0,1,10,2,15,9,NO
146,560,72,151,39,8,20,78,11,7,46,81,3,1,1,3,12,8,NO
129,418,30,94,11,1,3,47,1,3,26,51,0,0,1,1,12,7,NO
88,284,36,66,13,0,14,38,2,1,24,83,2,5,2,2,4,5,NO
161,592,43,159,25,1,5,63,1,1,22,54,9,5,2,6,18,3,NO
87,250,33,59,7,1,5,22,0,1,22,33,0,0,1,4,12,3,NO
116,475,64,139,23,3,5,46,24,7,27,77,1,6,2,5,6,0,NO
139,441,59,114,16,2,10,46,43,18,51,71,2,6,5,4,10,0,NO
135,426,48,112,20,5,2,30,2,1,38,42,9,2,2,3,8,3,NO
139,401,43,117,14,5,7,41,1,3,24,44,5,0,3,4,7,7,NO
133,518,74,164,31,3,4,41,19,8,45,88,4,2,2,4,4,5,NO
109,350,39,106,16,2,3,29,5,2,15,60,0,11,4,2,7,2,NO
151,471,52,122,15,9,1,32,13,8,35,71,2,1,13,1,12,4,NO
121,348,60,91,16,3,15,45,11,5,53,39,4,2,1,1,8,6,NO
140,513,93,135,20,3,10,37,12,11,46,116,0,5,15,7,7,1,NO
117,373,41,98,15,6,5,39,3,2,41,68,2,0,4,3,3,4,NO
131,495,55,120,18,2,13,71,3,2,33,49,3,12,0,4,22,3,NO
111,320,34,90,20,3,7,40,1,0,16,62,3,4,4,1,9,6,NO
141,488,61,124,33,3,3,45,12,11,48,74,1,2,4,2,10,1,NO
154,536,100,151,35,4,34,82,6,1,79,149,3,4,0,4,15,2,NO
106,298,19,56,12,2,5,29,5,2,35,52,2,1,2,2,7,3,NO
145,489,61,121,25,3,16,68,2,3,53,126,3,3,5,2,14,6,NO
118,333,36,79,7,2,3,30,4,0,33,61,3,1,0,2,9,4,NO
113,344,55,89,18,4,9,42,2,6,10,40,3,5,4,4,6,1,NO
119,385,54,111,19,0,15,61,10,2,72,64,9,4,6,4,9,12,NO
153,598,83,179,31,4,5,45,14,6,68,64,10,1,14,4,9,3,NO
121,348,50,87,22,0,10,36,5,2,33,106,0,1,2,3,10,2,NO
96,290,38,93,24,2,6,40,0,0,28,48,3,0,0,0,8,8,NO
106,350,40,108,23,2,11,42,3,1,16,61,1,2,5,2,11,3,NO
142,437,52,102,17,4,6,41,3,2,76,44,25,3,3,3,11,6,NO
158,596,106,154,19,7,3,34,70,21,75,57,1,3,14,4,2,3,NO
118,417,63,118,24,4,4,28,7,9,34,45,0,9,5,1,9,4,NO
126,487,53,128,18,7,13,39,17,7,35,106,0,2,1,4,6,1,NO
136,269,36,63,11,2,2,23,1,2,29,27,2,0,6,4,9,3,NO
159,593,77,157,33,5,30,112,5,4,27,162,4,4,10,3,17,2,NO
133,435,55,109,14,5,4,41,31,7,49,94,6,10,5,3,9,6,NO
136,415,48,118,11,2,3,36,1,6,26,50,0,1,8,2,19,11,NO
132,420,55,95,11,1,23,58,7,1,37,107,11,2,4,2,9,2,NO
155,598,88,169,43,2,16,67,21,7,73,150,0,14,0,1,10,7,NO
133,463,60,130,19,8,10,70,4,4,38,77,2,2,6,5,9,2,NO
152,539,86,160,34,1,29,101,4,3,79,130,23,8,0,7,14,2,NO
152,530,78,167,37,1,25,97,3,3,53,54,5,6,1,5,15,1,NO
113,426,50,105,22,0,14,52,1,0,34,76,1,4,4,5,13,6,NO
141,396,53,83,16,5,8,43,27,11,37,101,0,6,1,3,6,3,NO
117,463,46,112,18,4,2,40,10,4,25,46,0,6,8,2,8,1,NO
128,415,73,104,12,1,1,19,45,19,81,78,5,1,2,1,4,9,NO
85,302,31,73,22,1,4,26,4,1,13,81,1,0,1,0,7,0,NO
127,446,62,143,27,2,17,76,4,7,45,68,2,4,2,6,9,4,NO
108,358,50,89,26,1,15,58,0,1,13,63,0,3,8,7,3,5,NO
91,314,37,89,24,2,4,43,3,0,35,50,1,5,1,5,6,8,NO
80,255,37,80,9,2,11,51,17,3,27,39,3,1,2,4,5,7,NO
133,482,76,142,29,1,32,104,3,1,30,68,3,6,0,6,14,3,NO
152,536,71,147,36,1,21,81,3,0,49,120,11,11,1,4,12,9,NO
153,601,65,142,23,5,13,56,2,3,28,104,4,2,7,1,14,5,NO
80,267,32,68,12,2,0,15,7,5,10,28,0,1,5,2,5,1,NO
144,536,58,140,25,7,9,49,12,9,21,74,4,0,4,5,17,8,NO
113,378,37,99,17,1,16,51,3,1,17,82,1,5,0,3,9,1,NO
132,460,43,110,16,3,1,29,18,4,15,56,4,1,3,4,11,9,NO
134,448,64,80,14,2,25,64,1,3,89,175,1,0,0,2,3,7,NO
151,551,74,158,19,4,4,54,12,9,46,71,2,3,8,9,9,4,NO
85,288,43,80,7,0,10,34,6,5,31,95,3,1,1,2,6,0,NO
113,318,26,53,10,1,5,18,2,0,32,69,6,2,4,2,9,2,NO
151,573,84,155,26,1,20,90,20,5,70,112,7,6,1,8,16,1,NO
137,435,61,123,22,3,17,71,4,7,53,58,16,9,4,4,8,10,NO
155,590,76,161,32,2,22,95,3,5,49,134,4,5,0,7,13,9,NO
109,405,38,97,19,1,11,44,1,0,23,95,1,11,2,4,11,3,NO
114,366,74,93,17,4,12,45,5,1,81,60,6,2,3,2,4,1,NO
94,357,59,111,26,0,13,61,5,3,33,79,0,4,0,2,4,7,NO
107,388,56,97,6,5,2,16,40,14,43,39,1,4,5,0,0,4,NO
119,395,39,99,20,0,12,49,2,0,45,92,0,3,0,5,8,5,NO
122,370,46,100,18,2,7,38,7,6,19,71,0,4,2,3,12,12,NO
109,303,29,75,11,0,4,32,1,3,28,47,6,1,1,3,11,7,NO
134,411,47,119,15,5,0,47,23,10,46,68,7,2,3,5,11,2,NO
145,517,61,140,22,5,6,50,25,5,31,64,3,3,10,5,4,1,NO
129,409,68,107,15,2,2,27,19,7,51,79,0,1,7,3,4,3,NO
84,260,47,60,11,3,12,32,8,3,18,62,0,0,0,0,5,1,NO
110,336,45,87,10,1,26,66,5,2,22,108,1,6,0,0,7,2,NO
131,469,56,122,19,1,10,48,0,1,53,58,1,4,3,6,13,0,NO
129,332,39,73,11,2,6,31,12,3,21,50,3,4,2,2,1,7,NO
146,456,30,112,17,0,2,39,1,1,36,42,4,3,5,5,20,7,NO
150,492,69,118,19,9,7,34,53,16,38,102,5,1,0,2,4,2,NO
124,413,49,111,14,3,11,57,6,8,46,48,9,1,4,1,7,7,NO
120,356,35,77,5,3,1,33,11,5,18,36,3,1,14,2,10,1,NO
87,260,38,60,7,3,2,17,8,9,20,46,0,1,5,2,5,0,NO
100,332,45,95,14,1,9,36,11,8,16,62,0,2,3,4,10,4,NO
137,521,72,149,35,3,12,59,4,1,42,96,1,4,8,1,19,3,NO
152,578,71,154,24,4,20,88,16,4,43,130,4,4,2,2,19,6,NO
120,402,46,96,9,3,5,28,25,10,33,66,0,3,6,3,2,2,NO
125,416,40,107,13,5,2,26,3,7,20,32,0,2,7,8,15,8,NO
98,279,24,61,17,0,3,25,0,0,22,21,6,3,2,2,9,7,NO
149,460,69,125,29,7,9,48,11,4,17,80,0,2,7,5,10,6,NO
110,351,34,87,14,2,3,30,0,6,35,26,5,1,3,2,10,3,NO
116,263,28,64,7,3,4,25,4,2,45,44,6,1,6,0,6,6,NO
148,574,74,164,28,6,24,82,7,6,28,69,7,3,0,6,12,12,NO
121,306,42,73,10,0,21,57,0,0,27,73,3,4,0,0,6,6,NO
62,261,39,73,14,2,5,26,7,6,29,36,1,1,2,0,5,1,NO
148,462,50,122,37,0,10,65,9,9,47,64,6,1,4,8,11,5,NO
151,559,73,151,37,1,24,90,5,2,34,122,1,9,0,2,18,6,NO
102,292,52,76,8,5,0,9,30,5,30,56,1,1,4,3,5,2,NO
108,285,41,79,11,4,7,34,18,3,46,54,2,0,1,5,2,5,NO
122,413,44,109,21,0,5,30,4,5,25,69,1,3,1,4,12,1,NO
151,581,59,147,34,2,13,83,3,2,42,80,2,6,1,6,15,6,NO
92,378,46,115,17,2,11,47,6,3,47,44,4,1,1,3,5,9,NO
132,459,58,109,18,1,22,83,0,2,66,107,8,3,1,7,13,3,NO
103,378,44,93,18,4,15,51,5,3,30,92,2,3,0,2,13,2,NO
122,380,46,91,20,0,9,37,10,3,29,96,1,2,3,1,7,12,NO
130,463,55,124,22,4,13,56,3,4,37,59,2,2,3,4,14,3,NO
105,289,54,88,16,2,4,31,3,3,44,45,1,4,2,4,3,4,NO
78,256,23,61,15,2,8,30,5,1,28,76,1,1,1,3,2,1,NO
75,290,51,81,14,4,8,38,32,3,30,49,0,0,3,5,6,8,NO
157,548,75,151,27,2,7,67,10,5,52,103,7,14,9,5,13,3,NO
127,467,46,119,20,3,6,50,0,1,28,48,2,0,2,2,10,3,NO
126,253,26,73,12,1,4,38,15,1,27,50,3,0,0,5,9,12,NO
80,288,34,72,19,2,11,26,2,7,19,81,4,3,5,1,5,1,NO
96,345,45,97,17,0,6,33,3,4,18,59,4,1,1,1,9,5,NO
144,544,78,155,31,8,7,60,13,5,55,127,8,3,4,2,23,2,NO
141,452,46,90,15,4,12,54,8,5,26,67,4,5,7,4,5,1,NO
124,387,67,124,18,2,1,27,13,7,36,32,1,0,14,3,3,6,NO
107,317,49,75,14,3,4,25,24,10,60,81,2,2,5,1,0,4,NO
104,279,31,64,6,1,0,26,6,2,30,47,1,2,4,0,5,0,NO
105,361,49,99,25,3,3,40,2,1,34,41,0,5,3,4,5,0,NO
127,463,73,122,23,7,15,65,13,8,45,99,0,2,2,5,4,1,NO
141,479,33,109,13,1,1,28,0,3,30,55,1,3,3,3,21,3,NO
156,484,50,115,9,1,0,21,6,4,41,27,0,4,32,1,15,2,NO
120,328,27,84,19,4,1,31,3,2,14,23,3,0,9,2,9,7,NO
